mp-7, S
mp-9069, K2NaAlAs2
mp-9075, CdCuF4
mp-9076, NaTmS2
mp-9078, BaPIr
mp-9080, CsPrS2
mp-9081, CsNdS2
mp-9082, CsSmS2
mp-9084, CsGdS2
mp-9085, CsTbS2
mp-9086, CsDyS2
mp-9089, CsTmS2
mp-9090, CsYbS2
mp-9102, RbVP2S7
mp-9115, Ba2SrIrO6
mp-9117, Sr2YTlCu2O7
mp-9145, Rb2SnSe3
mp-9146, CdHgO2
mp-9159, Li4NpO5
mp-9173, TiO2
mp-9177, Y2Al3Si2
mp-9179, Ba3Zr2S7
mp-9194, SmCuSeO
mp-9201, K4Ge2Au7
mp-9208, V2B3
mp-9211, Tm2Fe2Si2C
mp-9219, LaB2Pt2C
mp-9223, ScGeRu
mp-9225, ScSiPt
mp-9235, LaNiSb
mp-9238, Ba2UCuO6
mp-9249, NaGeAu
mp-9251, TlTe3Pt2
mp-9252, HgS
mp-9254, Al2Te5
mp-9257, Yb(CdSb)2
mp-9264, NaTeAu
mp-9272, TlPt2S3
mp-9277, Ce2CrN3
mp-9289, ZrSnTe
mp-9293, EuGeAu
mp-9304, DyCuSeO
mp-9339, NbP
mp-9341, GdAgGe
mp-9349, KRb2ScF6
mp-9350, ScGeAu
mp-9351, LuGeAu
mp-9357, Th(CrB3)2
mp-9362, RbPrS2
mp-9363, RbNdS2
mp-9364, RbSmS2
mp-9365, RbTbS2
mp-9366, RbHoS2
mp-9367, RbErS2
mp-9368, RbTmS2
mp-9369, RbYbS2
mp-9370, RbLuS2
mp-9372, Ba2Cu(PO4)2
mp-9374, MnMoN2
