mp-7, S
mp-1079426, Tl2SiHgSe4
mp-1079433, BaMg4Si3
mp-1079437, FeB4
mp-1079455, CeNiAsO
mp-1079458, Cs2NaCeCl6
mp-1079471, TmZnPd
mp-1079478, PrAgSb2
mp-1079483, LiAuF6
mp-1079540, La(SbPd)2
mp-1079541, ZnCu2SnS4
mp-1079551, BaGdCo2O5
mp-1079562, UFeSe3
mp-1079568, NaIrO3
mp-1079570, CeFeAsO
mp-1079573, Pr2Fe2S2O3
mp-1079583, Rb2NaAlF6
mp-1079600, Cs2S3
mp-1079603, BaCdPF
mp-1079605, Dy2NiSn6
mp-1079615, Ba2UCdO6
mp-1079622, Ba3(ZnAs2)2
mp-1079629, Mg(BC)2
mp-1079630, Ba2TaInO6
mp-1079632, Ba2CeNbO6
mp-1079645, K2CdSnSe4
mp-1079647, BaAgSeF
mp-1079656, TmAgS2
mp-1079685, LaNiPO
mp-1079688, Hf4CuSi4
mp-1079697, SmPRu2C
mp-1079704, Tb3Sn7
mp-1079705, Ba2LuTaO6
mp-1079717, Sr2Ti2Sb2OF2
mp-1079726, Zr2SeN2
mp-1079747, Sr2Ti2As2OF2
mp-1079800, La2Co2Se2O3
mp-1079832, ScTe
mp-1079840, Dy2Ni2Sn
mp-1079848, GaFe2AgTe4
mp-1079852, ErZnPd
mp-1079853, SrMg2Pd
mp-1079885, LiSbS2
mp-1079887, TbFeAsO
mp-1079890, Al2CuIr
mp-1079938, TlPd3
mp-1079944, LuCuAs2
mp-1079971, Sr2ZnMoO6
mp-1079988, La2Al2Ge
mp-1079993, ThAgPO
mp-1080029, Ba2Mn2Se2OF2
mp-1080041, Cs2NaBiCl6
mp-1080045, SrHBrO
mp-1080049, Sr(ZnSn)2
mp-1080058, KIO3
mp-1080083, PrPOsO
mp-1080128, SrMnSbF
mp-1080133, SrGa3Pd
mp-1080135, SrZnAsF
mp-1080178, GdZnPd
mp-1080419, SmBi2Au
mp-1080428, NbBr4
mp-1080438, SrAgTeF
mp-1080449, SmZnPd
mp-1080464, Ba3(CdAs2)2
mp-1080470, Ba2SmOsO6
mp-1080480, CeSi2Ag
mp-1080486, TiFeP
mp-1080493, Y3Au2
mp-1080496, GdInAu
mp-1080534, Cs2Li3I5
mp-1080546, La(GePt)2
mp-1080559, In(GaAu)2
mp-1080579, NdCd2Pd
mp-1080595, Gd2CoSi2
mp-1080605, MgGaAu
mp-1080619, TmZnSn2
mp-1080650, BaCuSF
mp-1080665, ScPIr
mp-1080679, LiTaF6
mp-1080702, Ba(CuSb)2
mp-1080713, Er2Ni2Sn
mp-1080714, Li2AgSn2
mp-1080722, Nd2CdCu2
mp-1080729, CePRu2C
mp-1080739, Eu3(SF2)2
mp-1080747, ScAlCO
mp-1080749, CsFeO2
mp-1080779, YZnSn2
mp-1080794, TbPRu2C
mp-1080797, CsHg
mp-1080828, KCuF3
mp-1080842, Ba2UPbO6
mp-1084770, K2BiAu
mp-1084823, Sr2CrSbO6
mp-1084830, LaGe
mp-1086652, BaAgSF
mp-1086665, NdCoAsO
mp-1087473, LuZnPd
mp-1087476, K2Mg5Sn3
mp-1087483, ThCuPO
mp-1087517, NdZnPd
mp-1091385, PuAl2Pd5
mp-1091391, BaTl4
mp-1091394, Ba2NaIO6
mp-1091415, Ge
mp-1091416, SrCuTeF
mp-1092291, Sm(GePt)2
mp-1092328, Sc3IrC4
mp-1095035, Eu2InPt2
mp-1095043, Sc3OsC4
mp-1095072, Sm(PIr)2
mp-1095074, Ba2GdMoO6
mp-1095099, LiPtF6
mp-1095149, LiLaBi2
mp-1095151, BaCdAsF
mp-1095160, Eu2InPd2
mp-1095177, SiNi
mp-1095180, Ca2CdAs2
mp-1095186, K(NpSe3)2
mp-1095188, CaNiGeH
mp-1095204, Tm2Ni2Sn
mp-1095213, BaFe2S2O
mp-1095216, NdAsO4
mp-1095224, PtO2
mp-1095228, PuB2C
mp-1095229, YNbO4
mp-1095230, CaSeO4
mp-1095238, Eu3(GeIr)4
mp-1095240, Ca3(GeIr)4
mp-1095247, ScGeRh
mp-1095252, SrFe2Se2O
mp-1095253, ScGePt
mp-1095254, EuMoO4
mp-1095261, ScCoGe
mp-1095263, HoSeF
mp-1095264, OsO2
mp-1095269, Si
mp-1095270, Na5NpO6
mp-1095280, SrFe2S2O
mp-1095283, PAuO4
mp-1095284, BaGe5
mp-1095287, ScTlP2S7
mp-1095292, GeF2
mp-1095294, SiS2
mp-1095296, Dy4Te3S4
mp-1095302, BiSe2
mp-1095303, FeBi4S7
mp-1095305, NdSbAu
mp-1095307, CeSbAu
mp-1095309, LaAsO4
mp-1095315, BaWO4
mp-1095320, LuBPt2
mp-1095321, WBr5
mp-1095324, U2In8Rh
mp-1095333, EuIn4Ir
mp-1095346, EuCdPt
mp-1095351, NpB2C
mp-1095353, IrO2
mp-1095357, BaIn9Ir2
mp-1095369, Sr3(GaIr)4
mp-1095370, BiPdSe
mp-1095372, MnBi4S7
mp-1095377, ErSnPd
mp-1095378, AsAuO4
mp-1095411, EuIn2(GeIr)4
mp-1095419, TaCrP
mp-1095420, ZnMoO4
mp-1095422, YbBPt2
mp-1095424, Pr4Mn2As5
mp-1095429, KUClO3
mp-1095431, YbGaNi
mp-1095433, TmGa4Ni
mp-1095452, U3Fe2Ge7
mp-1095467, Tm2Si2O7
mp-1095476, LaSnPd
mp-1095479, GdS2
mp-1095485, BaGe(PO4)2
mp-1095496, ErGa4Ni
mp-1095498, Ba2Ni5Ge4
mp-1095505, Ti3GeC2
mp-1095513, SrCdAu
mp-1095516, KFe2Se3
mp-1095519, Eu2In
mp-1095520, KPd2O3
mp-1095522, YZnPd
mp-1095535, YGa4Ni
mp-1095563, ScSiIr
mp-1095577, Tm4B3C4
mp-1095610, ZrGePt
mp-1095626, La2P2AuO
mp-1095628, YSnPd
mp-1095635, Lu(P2Rh3)2
mp-1095653, Yb3(CuGe)4
mp-1095659, YbAlB4
mp-1095660, EuIn4Cu
mp-1095661, YbCuPbSe3
mp-1100908, VO2
mp-1101056, GdMgIn
mp-1101094, Cs2CeCl6
mp-1101768, La3(ZnPd)4
mp-1101774, YSnIr
mp-1101783, Bi2Ir
mp-1101787, LaSi5
mp-1101788, EuInRh
mp-1101792, EuMg2
mp-1101808, CeSbIr
mp-1101822, EuSbPd
mp-1101845, EuGaGe
mp-1101864, PrO2
mp-1101867, ZrCuSn
mp-1101873, ErS2
mp-1101885, Na2PS3
mp-1101989, SrLiAs
mp-1101996, Ce2NCl3
mp-1102023, HgPt2Se3
mp-1102073, SrCdPt
mp-1102076, EuMgPd
mp-1102077, NaAlF4
mp-1102080, ScSiPd
mp-1102093, EuI2
mp-1102145, EuMgSn
mp-1102147, Sc(P2Rh3)2
mp-1102160, EuGaSn
mp-1102172, Ce2In8Pd
mp-1102174, In2AsPt8
mp-1102195, TiSiPt
mp-1102246, LaSeCl
mp-1102254, Cs2GeSe3
mp-1102268, YSiIr
mp-1102285, AlPS4
mp-1102298, Eu3B2Pt7
mp-1102313, YbSbIr
mp-1102373, YGeIr
mp-1102390, Eu2Ge3Au
mp-1102394, Nb5B6
mp-1102396, Ba2In
mp-1102445, PrNi3
mp-1102475, Ce2NiGe3
mp-1102477, Eu2Si
mp-1102487, Sc(P2Ru3)2
mp-1102498, Ce2PPt8
mp-1102523, Zn2PN3
mp-1102524, In2Pd8Se
mp-1102525, ScSiRu
mp-1102536, AlCuBr4
mp-1102545, HfTl2Se3
mp-1102568, EuZnAu
mp-1102613, La3(ZnPt)4
mp-1102615, CeTeCl
mp-1102631, CaAlPt
mp-1102662, CaMgPd
mp-1102671, EuIn4Au
mp-1102706, Eu3Ga8
mp-1102721, LaTa2CuClO7
mp-1102794, Mg2BBrN2
mp-1102795, ErZnPt
mp-1102830, ZrTl2S3
mp-1102855, ScGeIr
mp-1102891, EuBi2
mp-1102897, EuZnPd
mp-1102914, Ba2Eu3Si7
mp-1102938, MnTlF4
mp-1102948, GdNi4B
mp-1102961, AlCdCl4
mp-1102963, VO2
mp-1102993, EuAs
mp-1103002, EuIn4Ni
mp-1103033, SrMgPt
mp-1103034, ScCoSi
mp-1103046, CaCdPt
mp-1103080, Ba2Ti2Fe2As4O
mp-1103091, GaHgCl4
mp-1103128, Yb4Ni2C5
mp-1103152, CsBrF4
mp-1103172, CaCdPd
mp-1103174, TlFe2S3
mp-1103189, LaTeCl
mp-1103226, TbS2
mp-1103346, NbGePt
mp-1103351, Na4Mg(SiSe3)2
mp-1103379, Cs2SnSe3
mp-1103397, BaSnF4
mp-1103425, ErCo3Si2
mp-1103440, GdZnRh
mp-1103449, Yb(P2Rh3)2
mp-1103453, Sr2LiGe3
mp-1103457, Eu3Zn2(CuP2)2
mp-1103473, CsCrP2S7
mp-1103503, GdSnPd
mp-1103514, Eu2Cu6P5
mp-1103520, Cs2SiS3
mp-1103543, BaDyFe4O7
mp-1103548, Ce3(SiPd)4
mp-1103596, Ce(Ge2Rh3)2
mp-1103604, La2NCl3
mp-1103614, Ce2In8Pt
mp-1103637, EuBPt4
mp-1103650, RbCu2I3
mp-1103655, YNiGe
mp-1103718, Al(VS2)4
mp-1103730, Na4Mg(GeSe3)2
mp-1103787, Si7(Ni2Au)2
mp-1103870, Eu(In2Ag)4
mp-1103929, Yb(Ga2Cu)4
mp-1103940, Li6PBrO5
mp-1103986, BaLuFe4O7
mp-1103995, Sr3Fe2(OF)4
mp-1104011, CsGdCdTe3
mp-1104137, Tb(NbSn)6
mp-1104176, BaHoFe4O7
mp-1104205, BaErFe4O7
mp-1104254, Bi4Pb(ClO3)2
mp-1104320, Ti4GaS8
mp-1104326, HoVO4
mp-1104337, Y(VSn)6
mp-1104386, Li6PClO5
mp-1104454, Ta4Ga(TeSe)4
mp-1104863, BaYbFe4O7
mp-1104966, CsGdTe4
mp-1105068, BaYFe4O7
mp-1105101, Ba9In4
mp-1105876, Cs6Fe2O5
mp-1176494, MgV2O6
mp-1178789, V2ZnO6
mp-1181739, CrMoF6
mp-1182001, Ca3V2O8
mp-1182074, Ca2CoO3
mp-1182375, BaMn4O8
mp-1182772, HgH3IO6
mp-1202723, B
mp-1205295, Yb2PbAu2
mp-1205313, SmAgAs2
mp-1205330, Ca3SiO
mp-1205335, RbAg3S2
mp-1205342, KAg3Te2
mp-1205343, CaMnSb2
mp-1205355, MoBr3
mp-1205359, Ba2UCuO6
mp-1205378, LuCuPbSe3
mp-1205384, LaTe2
mp-1205454, Hf2InNi2
mp-1205455, SnSe
